id,titre,artiste,album,annee,genre,duree_sec,ecoutes
1,Bohemian Rhapsody,Queen,A Night at the Opera,1975,ROCK,354,1341975
2,Hotel California,Eagles,Hotel California,1976,ROCK,391,234478
3,Stairway to Heaven,Led Zeppelin,Led Zeppelin IV,1971,ROCK,482,53451
4,Smells Like Teen Spirit,Nirvana,Nevermind,1991,ROCK,301,1556144
5,Sweet Child O' Mine,Guns N' Roses,Appetite for Destruction,1987,ROCK,356,577778
6,Billie Jean,Michael Jackson,Thriller,1982,POP,294,514575
7,Like a Prayer,Madonna,Like a Prayer,1989,POP,339,469106
8,Shape of You,Ed Sheeran,Divide,2017,POP,233,293632
9,Blinding Lights,The Weeknd,After Hours,2020,RNB,200,1545492
10,Rolling in the Deep,Adele,21,2011,POP,228,215947
11,Hey Jude,The Beatles,Hey Jude,1968,ROCK,431,1420141
12,Let It Be,The Beatles,Let It Be,1970,ROCK,243,1554292
13,Come Together,The Beatles,Abbey Road,1969,ROCK,259,1872036
14,Here Comes the Sun,The Beatles,Abbey Road,1969,ROCK,185,1144716
15,Yesterday,The Beatles,Help!,1965,ROCK,125,183323
16,Lose Yourself,Eminem,8 Mile,2002,HIP_HOP,326,1239352
17,Sicko Mode,Travis Scott,Astroworld,2018,HIP_HOP,312,885834
18,HUMBLE.,Kendrick Lamar,DAMN.,2017,HIP_HOP,177,67653
19,God's Plan,Drake,Scorpion,2018,HIP_HOP,198,63489
20,Empire State of Mind,Jay-Z,The Blueprint 3,2009,HIP_HOP,276,197493
21,Take Five,Dave Brubeck,Time Out,1959,JAZZ,324,459517
22,So What,Miles Davis,Kind of Blue,1959,JAZZ,545,488925
23,Feeling Good,Nina Simone,I Put a Spell on You,1965,JAZZ,176,1060806
24,Fly Me to the Moon,Frank Sinatra,It Might as Well Be Swing,1964,JAZZ,148,1263524
25,What a Wonderful World,Louis Armstrong,What a Wonderful World,1967,JAZZ,139,56649
26,Clair de Lune,Claude Debussy,Suite Bergamasque,1905,CLASSIQUE,300,1178016
27,Symphony No. 5,Ludwig van Beethoven,Symphony No. 5,1808,CLASSIQUE,420,417992
28,The Four Seasons: Spring,Antonio Vivaldi,The Four Seasons,1725,CLASSIQUE,210,1502601
29,Canon in D,Johann Pachelbel,Canon and Gigue,1680,CLASSIQUE,300,1363906
30,One More Time,Daft Punk,Discovery,2000,ELECTRONIC,320,1471785
31,Levels,Avicii,True,2011,ELECTRONIC,203,1143825
32,Strobe,Deadmau5,For Lack of a Better Name,2009,ELECTRONIC,636,880796
33,Titanium,David Guetta,Nothing but the Beat,2011,ELECTRONIC,245,463297
34,Enter Sandman,Metallica,Metallica,1991,METAL,331,943059
35,Master of Puppets,Metallica,Master of Puppets,1986,METAL,515,1236779
36,Paranoid,Black Sabbath,Paranoid,1970,METAL,168,584408
37,Breaking the Law,Judas Priest,British Steel,1980,METAL,154,1698498
38,Jolene,Dolly Parton,Jolene,1973,COUNTRY,161,1824054
39,Ring of Fire,Johnny Cash,Ring of Fire,1963,COUNTRY,156,14628
40,"Take Me Home, Country Roads",John Denver,"Poems, Prayers & Promises",1971,COUNTRY,195,1592334
41,No Woman No Cry,Bob Marley,Natty Dread,1974,REGGAE,265,1690925
42,Three Little Birds,Bob Marley,Exodus,1977,REGGAE,180,335829
43,Red Red Wine,UB40,Labour of Love,1983,REGGAE,187,1465104
44,I Want It That Way,Backstreet Boys,Millennium,1999,POP,213,887286
45,Toxic,Britney Spears,In the Zone,2003,POP,199,714557
46,Uptown Funk,Bruno Mars,Uptown Special,2014,POP,269,583738
47,Bad Guy,Billie Eilish,When We All Fall Asleep,2019,POP,194,327064
48,As It Was,Harry Styles,Harry's House,2022,POP,167,452545
49,Flowers,Miley Cyrus,Endless Summer Vacation,2023,POP,200,1602163
50,Golden Nights,The Beatles,Burning Sessions,1976,ROCK,211,360663
51,Neon Heart,Louis Armstrong,Fragile Sessions,1999,JAZZ,257,130889
52,Burning Nights,Bob Marley,Whispers Sessions,1988,REGGAE,332,659176
53,Wonder Truth,Louis Armstrong,Echoes Sessions,1982,JAZZ,300,72933
54,Static Love,Eagles,Sunset Sessions,1988,ROCK,140,244098
55,Golden Memory,Dolly Parton,Neon Sessions,1999,COUNTRY,282,382554
56,Fallen Truth,Michael Jackson,Lonely Sessions,2012,POP,188,735911
57,Static Nights,Bob Marley,Ashes Sessions,2010,REGGAE,163,560086
58,Wild Fire,Avicii,Crystal Sessions,1994,ELECTRONIC,189,671088
59,Whispers Love,Daft Punk,Static Sessions,1990,ELECTRONIC,335,58655
60,Ghost Heart,Ed Sheeran,Storm Sessions,1990,POP,222,280746
61,Lonely Motion,Led Zeppelin,Wonder Sessions,2015,ROCK,200,222955
62,Velvet Memory,Ludwig van Beethoven,Wonder Sessions,2011,CLASSIQUE,237,149811
63,Silent Love,The Weeknd,Fragile Sessions,2005,RNB,257,275504
64,Echoes Tears,Avicii,Wonder Sessions,2007,ELECTRONIC,222,379580
65,Silent Silence,Ed Sheeran,Velvet Sessions,1975,POP,313,49405
66,Golden Rain,Dolly Parton,Horizon Sessions,1980,COUNTRY,322,713536
67,Ashes Nights,Kendrick Lamar,Burning Sessions,1994,HIP_HOP,272,490785
68,Neon Reflection,Miles Davis,Fever Sessions,1970,JAZZ,294,755731
69,Static Reflection,Nirvana,Sunset Sessions,1987,ROCK,316,672097
70,Golden Light,The Beatles,Hollow Sessions,1980,ROCK,236,3402
71,Wonder Streets,Avicii,Shadows Sessions,2018,ELECTRONIC,165,532342
72,Golden Light,Bob Marley,Ghost Sessions,2010,REGGAE,249,638551
73,Silent Truth,Madonna,Sunset Sessions,1980,POP,258,556116
74,Midnight Fate,Bob Marley,Endless Sessions,2001,REGGAE,124,117301
75,Fallen Light,Bob Marley,Wild Sessions,1973,REGGAE,181,594916
76,Broken Illusion,Led Zeppelin,Ghost Sessions,1974,ROCK,314,558582
77,Silent Rain,Deadmau5,Static Sessions,2000,ELECTRONIC,260,173148
78,Shadows Fate,The Weeknd,Hollow Sessions,1983,RNB,357,565492
79,Fragile Sky,Deadmau5,Reckless Sessions,1989,ELECTRONIC,222,704314
80,Fallen Freedom,Ludwig van Beethoven,Wonder Sessions,2003,CLASSIQUE,235,126882
81,Wild Nights,Ed Sheeran,Endless Sessions,1971,POP,270,580828
82,Echoes Love,Ed Sheeran,Midnight Sessions,1974,POP,301,661759
83,Wild Nights,Eagles,Wonder Sessions,1972,ROCK,340,346479
84,Shadows Love,Led Zeppelin,Neon Sessions,2012,ROCK,244,224643
85,Silent Motion,Nina Simone,Echoes Sessions,2000,JAZZ,182,495948
86,Hollow Sky,Metallica,Golden Sessions,1976,METAL,288,451989
87,Hollow Tears,Eminem,Crystal Sessions,2016,HIP_HOP,133,706073
88,Horizon Road,Ludwig van Beethoven,Fading Sessions,1995,CLASSIQUE,306,355784
89,Fever Road,Metallica,Wild Sessions,1982,METAL,168,562336
90,Silent Tears,Drake,Electric Sessions,1987,HIP_HOP,238,261941
91,Chaos Nights,Dolly Parton,Crystal Sessions,2021,COUNTRY,340,577057
92,Fading Reflection,Nirvana,Ghost Sessions,1970,ROCK,143,790170
93,Wild Fire,Dolly Parton,Hollow Sessions,2001,COUNTRY,243,224130
94,Burning Heart,Dolly Parton,Electric Sessions,1994,COUNTRY,120,409386
95,Chaos Freedom,The Weeknd,Distant Sessions,1997,RNB,298,765990
96,Whispers Illusion,Metallica,Silent Sessions,1982,METAL,195,228275
97,Echoes Reflection,Eagles,Fading Sessions,2017,ROCK,200,59942
98,Echoes Illusion,Eagles,Shadows Sessions,2024,ROCK,255,165080
99,Shadows Nights,Eagles,Fever Sessions,1981,ROCK,137,623939
100,Static Love,Led Zeppelin,Burning Sessions,1977,ROCK,347,597347
101,Echoes Fate,Ed Sheeran,Fading Sessions,2009,POP,140,439589
102,Echoes Motion,Antonio Vivaldi,Shadows Sessions,1990,CLASSIQUE,359,273432
103,Static Waves,Madonna,Wild Sessions,1986,POP,221,137235
104,Horizon Light,Antonio Vivaldi,Crystal Sessions,1990,CLASSIQUE,357,788387
105,Broken Dreams,Bob Marley,Crystal Sessions,2009,REGGAE,264,104837
106,Whispers Sky,Led Zeppelin,Shadows Sessions,1986,ROCK,153,365962
107,Broken Love,Johnny Cash,Fallen Sessions,1988,COUNTRY,160,459469
108,Whispers Light,Black Sabbath,Ashes Sessions,2021,METAL,287,554634
109,Static Reflection,Queen,Distant Sessions,2012,ROCK,146,140814
110,Golden Road,The Weeknd,Fragile Sessions,2005,RNB,159,285577
111,Ashes Sky,Adele,Reckless Sessions,1991,POP,172,720892
